name,start,salary,target,debut
C.J. Wilcox,2017,50000.0,0.000504577,2014
C.J. Wilcox,2019,1678854.0,0.015382573,2014
C.J. Williams,2016,543471.0,0.005772824,2012
C.J. Williams,2017,907268.0,0.009086097500000001,2012
C.J. Williams,2019,1620564.0,0.014848488,2012
CJ Elleby,2022,1836090.0,0.01484849,2020
Caleb Martin,2021,527615.0,0.004693499,2019
Caleb Martin,2022,6802950.0,0.05280666,2019
Cam Reddish,2023,2314473.0,0.017272187,2019
Cam Reynolds,2014,1662320.0,0.024985082,2018
Cam Reynolds,2017,1590199.0,0.016047541,2018
Cam Reynolds,2019,2028594.0,0.018587081,2018
Cam Reynolds,2020,1577187.3333333333,0.014451047666666666,2018
Cam Reynolds,2022,1851987.0,0.014977049,2018
Cameron Johnson,2023,23625000.0,0.166868753,2019
Cameron Oliver,2018,838464.0,0.008230806,2017
Cameron Oliver,2021,1489065.0,0.013246259,2017
Cameron Payne,2019,1471864.0,0.013486017999999999,2015
Cameron Payne,2021,6333333.0,0.053656626,2015
Cameron Payne,2023,2891467.0,0.021578112,2015
Caris LeVert,2020,17500000.0,0.157975031,2016
Caris LeVert,2023,16000000.0,0.119402985,2016
Carlik Jones,2022,1548642.5,0.012286978,2021
Carmelo Anthony,2018,2393887.0,0.023499661,2003
Carmelo Anthony,2019,2159029.0,0.019782197,2003
Carmelo Anthony,2020,2564753.0,0.023499661,2003
Carmelo Anthony,2021,2641691.0,0.023499662,2003
Caron Butler,2015,1525423.0,0.021791757,2002
Carrick Felix,2017,1312611.0,0.013246254,2013
Carsen Edwards,2021,946211.0,0.008417199,2019
Cassius Stanley,2021,1489065.0,0.013246259,2020
Cedi Osman,2017,2772355.0,0.027590838,2015
Cedi Osman,2020,7779711.0,0.067608704,2016
Chandler Parsons,2016,23609631.0,0.240012514,2011
Channing Frye,2018,2393887.0,0.023499661,2005
Charles Bassey,2022,2550000.0,0.019093734,2021
Charlie Brown Jr.,2020,772099.3333333334,0.007074384666666667,2019
Charlie Brown Jr.,2023,2092354.0,0.015614582,2019
Charlie Villanueva,2015,1499187.0,0.021416957,2005
Chasson Randle,2016,767339.6666666666,0.008057339,2015
Chasson Randle,2018,1153709.6666666667,0.011325424333333334,2015
Chasson Randle,2020,1678854.0,0.015382573,2015
Chasson Randle,2021,1789256.0,0.015916665,2015
Chasson Randle,2022,1968175.0,0.015916663,2015
Chaundee Brown,2022,1637966.0,0.013246258,2021
Cheick Diallo,2019,1678854.0,0.015382573,2016
Cheick Diallo,2021,10283.0,9.15e-05,2016
Cheick Diallo,2023,2346614.0,0.017512045,2016
Chima Moneke,2022,1368823.0,0.011069694,2018
Chimezie Metu,2020,1611312.5,0.014665023,2018
Chimezie Metu,2023,1265104.3333333333,0.009441077333333334,2018
Chinanu Onuaku,2018,1512601.0,0.014848492,2016
Chris Andersen,2016,1551659.0,0.016481937,2001
Chris Boucher,2018,930644.5,0.0091356985,2017
Chris Boucher,2020,6760000.0,0.061938794,2017
Chris Boucher,2022,11750000.0,0.091207234,2017
Chris Chiozza,2019,1445697.0,0.013246262,2018
Chris Chiozza,2020,1620564.0,0.014848488,2018
Chris Chiozza,2022,1968175.0,0.015916663,2018
Chris Copeland,2015,1150000.0,0.016428571,2012
Chris Copeland,2016,1050961.0,0.011163453,2012
Chris McCullough,2018,1567007.0,0.01538257,2015
Chris Paul,2009,15907354.0,0.274599293,2005
Chris Paul,2013,21468695.0,0.30038015,2005
Chris Paul,2018,39932648.0,0.374194341,2005
Chris Paul,2021,30000000.0,0.24319789,2005
Chris Silva,2021,1669178.0,0.014848489,2019
Chris Silva,2022,956532.5,0.0077354905,2019
Chris Silva,2023,2165000.0,0.016156716,2019
Christapher Johnson,2017,1577230.0,0.015916664,2012
Christian Wood,2016,944691.0,0.010034639,2015
Christian Wood,2018,1578979.0,0.015500093,2015
Christian Wood,2020,13666667.0,0.12337098,2015
Christian Wood,2023,2872945.0,0.021439888,2015
Cleanthony Early,2016,980431.0,0.010414274,2014
Cliff Alexander,2016,474818.0,0.005043582499999999,2015
Cliff Alexander,2017,1312611.0,0.013246254,2015
Clint Capela,2018,18000000.0,0.166449743,2014
Clint Capela,2023,22940640.0,0.171198806,2014
Coby White,2023,12000000.0,0.086642599,2019
Cody Martin,2022,7840000.0,0.058703872,2019
Cody Zeller,2017,14000000.0,0.135439307,2013
Cody Zeller,2021,2389641.0,0.021257504,2013
Cody Zeller,2022,2641682.0,0.021363325,2013
Cody Zeller,2023,3196448.0,0.02385409,2013
Cole Aldrich,2015,1163944.0,0.016627771,2010
Cole Aldrich,2016,7300000.0,0.07555528,2010
Cole Aldrich,2018,2165481.0,0.021257507,2010
