name,debut,start,end,salary,birth
C.J. Williams,2012,2019,2019,1620564,1990
C.J. Williams,2012,2017,2019,998921,1990
C.J. Williams,2012,2017,2017,815615,1990
C.J. Williams,2012,2016,2016,543471,1990
Caleb Martin,2019,2022,2024,6802950,1995
Caleb Martin,2019,2021,2021,527615,1995
Cam Reddish,2019,2023,2024,2314473,1999
Cam Reynolds,2018,2020,2020,3330,1995
Cam Reynolds,2018,2020,2020,110998,1995
Cam Reynolds,2018,2020,2020,1620564,1995
Cam Reynolds,2018,2017,2018,1590199,1994
Cam Reynolds,2018,2014,2016,1662320,1994
Cam Reynolds,2018,2022,2023,1851987,1991
Cam Reynolds,2018,2020,2021,3000000,1991
Cam Reynolds,2018,2019,2019,2028594,1991
Cameron Johnson,2019,2023,2026,23625000,1996
Cameron Oliver,2017,2021,2021,8558,1996
Cameron Oliver,2017,2021,2021,1489065,1996
Cameron Oliver,2017,2020,2020,4307,1996
Cameron Oliver,2017,2018,2018,838464,1996
Cameron Payne,2015,2018,2018,8853,1994
Cameron Payne,2015,2019,2020,1086650,1994
Cameron Payne,2015,2019,2020,1857078,1994
Cameron Payne,2015,2021,2023,6333333,1994
Cameron Payne,2015,2023,2023,2891467,1994
Caris LeVert,2016,2020,2022,17500000,1994
Caris LeVert,2016,2023,2024,16000000,1994
Carlik Jones,2021,2022,2022,1637966,1997
Carlik Jones,2021,2022,2024,1459319,1997
Carmelo Anthony,2003,2018,2018,2393887,1984
Carmelo Anthony,2003,2019,2019,2159029,1984
Carmelo Anthony,2003,2020,2020,2564753,1984
Carmelo Anthony,2003,2021,2021,2641691,1984
Caron Butler,2002,2015,2016,1525423,1980
Carrick Felix,2013,2017,2017,1312611,1990
Carsen Edwards,2019,2021,2022,946211,1998
Cassius Stanley,2020,2021,2021,8558,1999
Cassius Stanley,2020,2021,2021,1489065,1999
Cat Barber,2016,2021,2021,5318,1994
Cedi Osman,2017,2020,2023,7779711,1995
Cedi Osman,2015,2020,2023,7779711,1995
Cedi Osman,2015,2017,2019,2772355,1995
Chandler Parsons,2011,2016,2019,23609631,1988
