name,start,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,debut,end,salary,birth,target,Pos,G,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,contract_period,Annual
Ron Baker,2018,8.703703704,15.35432099,1.277777778,3.412345679,0.364037037,0.4,1.485185185,0.29062963,0.813580247,1.927160494,0.412765432,0.431358025,0.571604938,0.835802469,0.693246914,0.2,1.413580247,1.577777778,1.920987654,0.771604938,0.2,0.920987654,1.292592593,3.491358025,2016,2018,948581.0,1993,0.009311773,SG,43.7654321,True,False,False,False,False,1,3
Rondae Hollis-Jefferson,2020,13.43697479,19.7907563,2.996638655,6.888235294,0.441252101,0.149579832,0.598319328,0.156773109,2.847058824,6.240336134,0.466756303,0.448235294,1.899159664,2.747058824,0.68987395,1.601680672,3.346218487,4.997478992,1.700840336,0.750420168,0.449579832,1.099159664,1.850420168,7.942016807,2015,2020,713598.0,1995,0.017251851,SF,59.50420168,False,True,False,False,False,1,6
Roy Hibbert,2016,78.57961783,24.21656051,3.168152866,7.133121019,0.444452229,0.0,0.0,0.0,3.168152866,7.081528662,0.446452229,0.444452229,1.787261146,2.23566879,0.815229299,1.842038217,4.17133758,5.964968153,1.151592357,0.303184713,1.496815287,1.142038217,2.95477707,8.175159236,2008,2016,5000000.0,1986,0.053110693,C,78.57961783,False,True,False,False,False,1,9
Royce O'Neale,2020,37.34640523,24.34444444,2.092810458,4.617647059,0.455509804,1.032026144,2.703267974,0.381823529,1.060784314,1.860784314,0.557862745,0.567039216,0.492810458,0.639215686,0.762928105,0.346405229,4.081699346,4.428104575,1.964052288,0.746405229,0.392810458,0.9,2.424836601,5.710457516,2017,2023,9000000.0,1993,0.078213488,SF,76.89542484,False,True,False,False,False,4,4
Rudy Gay,2015,61.84112149,34.91261682,7.414953271,16.23411215,0.456303738,0.994859813,2.857943925,0.338205608,6.420093458,13.37616823,0.48178972,0.486752337,4.56588785,5.450934579,0.832915888,1.476635514,4.414953271,5.957476635,3.146728972,1.204205607,0.727102804,2.964018691,2.325233645,20.32476636,2006,2017,13333333.0,1986,0.162459965,SF,121.2149533,False,False,True,False,False,3,10
Rudy Gay,2017,58.0,33.94,6.7,14.49,0.4606,1.19,3.31,0.3524,5.51,11.21,0.4914,0.5006,3.13,3.9,0.8025,1.41,5.06,6.44,2.03,1.43,0.76,2.15,2.6,17.65,2006,2018,8616150.0,1986,0.086950138,SF,58.0,False,False,True,False,False,2,12
Rudy Gay,2018,14.27586207,25.80689655,5.193103448,11.22758621,0.465482759,0.875862069,2.686206897,0.334,4.317241379,8.64137931,0.50462069,0.50462069,2.655172414,3.224137931,0.80062069,1.265517241,4.282758621,5.513793103,1.817241379,1.04137931,0.768965517,1.779310345,2.010344828,13.98275862,2006,2018,10087200.0,1986,0.099021292,SF,47.68965517,False,False,True,False,False,1,13
Rudy Gay,2019,30.64285714,24.39285714,4.947619048,10.16666667,0.489071429,0.873809524,2.428571429,0.362190476,4.128571429,7.783333333,0.5275,0.532285714,1.835714286,2.280952381,0.796095238,1.080952381,4.95,6.030952381,2.011904762,0.8,0.59047619,1.564285714,2.028571429,12.7047619,2006,2020,16000000.0,1986,0.146600696,PF,63.57142857,False,False,False,True,False,2,14
Rudy Gay,2021,3.061538462,21.70307692,4.096923077,9.433076923,0.4334,1.390769231,3.833076923,0.357807692,2.706153846,5.6,0.481923077,0.506546154,1.557692308,1.806153846,0.8442,0.803076923,4.306153846,5.109230769,1.554615385,0.596923077,0.548461538,1.154615385,1.645384615,11.09076923,2006,2023,6184500.0,1986,0.052395698,PF,65.06153846,False,False,False,False,True,3,16
Rudy Gay,2023,0.329341317,16.01616766,2.229341317,5.692814371,0.391197605,0.830538922,2.761077845,0.28397006,1.465868263,2.931736527,0.487293413,0.460053892,0.898802395,1.064670659,0.833287425,0.731736527,2.662275449,3.394011976,1.0,0.365868263,0.3,0.765868263,1.364670659,6.15508982,2006,2023,3196448.0,1986,0.02385409,PF,92.55688623,False,False,False,True,False,1,18
